Rater,Estimate,SE,Count,Infit MS,Outfit MS
10000,0.569,0.086,10,5.326,4.016
10006,-0.887,0.182,10,0.431,0.447
10038,2.898,0.746,10,1.265,1.105
10168,3.459,1.004,10,5.722,14.362
10171,2.085,0.314,10,0.758,0.525
10173,-0.244,0.148,10,2.419,2.61
10195,-0.895,0.182,10,7.644,8.092
10218,-3.438,0.22,10,1.458,1.318
10263,2.021,0.288,10,2.942,2.323
10275,2.869,0.743,10,3.491,2.392
10277,1.73,0.188,10,1.416,1.274
10299,3.14,0.854,10,2.281,3.74
10309,-2.683,0.223,10,4.56,2.085
10327,-1.614,0.204,10,1.483,1.103
10337,1.26,0.079,10,1.836,1.564
10349,1.375,0.093,10,1.069,0.81
10352,-2.258,0.192,10,0.44,0.443
10354,0.139,0.113,10,1.213,1.265
1036,-2.006,0.218,10,0.813,0.809
10367,-0.612,0.173,10,1.509,1.073
10415,1.88,0.234,10,0.322,0.286
10416,-0.499,0.169,10,0.219,0.284
10419,0.507,0.071,10,1.076,1.066
10452,0.028,0.128,10,1.132,1.086
1046,0.464,0.079,10,4.468,44.649
1047,-2.794,0.217,10,0.446,0.338
10482,0.869,0.034,10,1.512,1.012
10498,-2.708,0.225,10,3.595,12.388
10511,2.711,0.653,10,1.496,1.022
10514,-0.233,0.138,10,2.183,1.415
10519,-2.461,0.225,10,1.837,1.831
10545,0.153,0.115,10,0.648,0.667
10548,0.913,0.026,10,0.986,1.425
10623,1.522,0.122,10,1.014,0.757
10626,-0.402,0.159,10,0.646,0.461
10648,-2.593,0.217,10,1.377,4.071
10651,-0.136,0.143,10,1.09,0.978
10694,-2.058,0.206,10,0.817,0.518
10695,1.9,0.407,10,7.976,7.233
10743,3.327,0.925,10,5.695,10.924
10749,-2.776,0.221,10,1.834,1.416
10753,2.104,0.476,10,1.641,1.007
10759,-3.23,0.213,10,1.104,2.686
1078,0.802,0.036,10,1.254,1.176
10807,1.363,0.091,10,1.884,1.551
1084,-0.986,0.182,10,1.59,1.275
10844,1.151,0.048,10,1.719,1.633
10871,2.891,0.694,10,6.021,7.664
10878,-2.832,0.218,10,2.445,1.208
10882,1.414,0.16,10,1.561,1.411
10890,-0.073,0.137,10,0.586,0.539
10901,-0.206,0.146,10,1.223,1.088
10936,-3.277,0.226,10,7.848,18.567
10961,-0.54,0.165,10,2.022,1.828
10965,1.387,0.095,10,2.191,1.532
1097,2.089,0.285,10,3.326,5.543
10989,-0.04,0.134,10,1.0,0.939
1100,0.389,0.088,10,1.634,1.628
11060,0.217,0.104,10,0.516,0.405
11079,0.108,0.121,10,1.638,1.441
11118,-2.898,0.215,10,1.301,0.925
11134,-0.315,0.151,10,0.43,0.463
1123,2.302,0.38,10,2.095,1.361
1160,0.069,0.12,10,2.167,1.816
1161,0.506,0.075,10,0.79,0.888
1167,-0.673,0.169,10,3.197,4.506
1171,2.693,0.661,10,3.561,5.875
1180,-0.844,0.183,10,0.348,0.366
119,-0.515,0.167,10,0.77,0.92
121,0.799,0.037,10,2.144,1.808
1211,-0.734,0.174,10,0.306,0.283
1236,0.732,0.044,10,0.425,0.358
1314,-1.476,0.193,10,1.953,1.682
1319,0.282,0.102,10,0.516,0.4
1336,-2.513,0.216,10,6.406,8.125
135,-0.197,0.142,10,0.866,0.941
1395,-2.554,0.22,10,0.754,0.72
1430,1.319,0.096,10,0.347,0.351
1436,0.443,0.078,10,2.038,1.259
144,1.607,0.156,10,2.233,2.13
1492,2.808,0.753,10,2.518,1.908
15,-0.242,0.149,10,0.932,0.957
1502,0.754,0.044,10,0.593,0.464
1543,-0.786,0.17,10,1.366,1.089
159,-1.177,0.185,10,1.259,2.722
1610,2.678,0.66,10,3.405,3.398
1637,-0.667,0.173,10,0.873,0.8
1639,-2.762,0.215,10,0.539,0.514
1676,-1.743,0.108,20,1.992,2.164
168,1.957,0.265,10,0.459,0.452
1707,-0.003,0.128,10,1.954,2.005
1761,-2.856,0.213,10,4.399,4.05
1814,-1.978,0.213,10,2.502,2.029
183,1.053,0.032,10,0.488,0.413
1852,1.731,0.327,10,3.117,2.759
1876,-2.887,0.217,10,0.794,0.468
1880,1.051,0.063,10,4.24,3.37
1921,-0.934,0.184,10,2.073,2.126
1922,-3.348,0.219,10,1.261,0.988
